id,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,chrt,sex,stage,nest.site.origin,cma.bin,translocated,captive,wild,SFdist,SFcat,SF_2km,SF_3km,Fcoeff,subpop,BFDV,BFDVtest,Dam_age
10375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,MOS,0,no,no,yes,1.327013703,1,1,1,0,BO,0,0,11
10380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Male,juvenile,MOS,0,no,no,yes,1.327013703,1,1,1,0,BO,0,0,11
10385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,MQO,0,no,no,yes,0.161296177,1,1,1,0.25,GG,0,0,11
10420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,NAI,0,no,no,yes,2.546203964,2,0,1,0.03125,GG,NA,NA,3
10425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,PB,0,0,0,0,0,0,2013,Female,juvenile,NAI,0,no,no,yes,2.546203964,2,0,1,0.03125,GG,NA,NA,3
10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,PB,B,0,0,0,2013,Male,juvenile,NAZ,0,no,no,yes,0.39188742,1,1,1,0,GG,0,0,5
10435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,PB,0,0,0,0,2013,Female,juvenile,NAZ,0,no,no,yes,0.39188742,1,1,1,0,GG,1,1,5
10440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,NAZ,0,no,no,yes,0.39188742,1,1,1,0,GG,1,1,5
10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,PB,0,0,0,0,2013,UNK,juvenile,NEV,0,no,no,yes,0.475933776,1,1,1,0.078125,GG,NA,NA,9
10470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,NEV,0,no,no,yes,0.475933776,1,1,1,0.078125,GG,NA,NA,9
10480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,PB,0,B,2013,Male,juvenile,NIA,0,no,no,yes,1.074457819,1,1,1,0,GG,1,1,6
10485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,NIA,0,no,no,yes,1.074457819,1,1,1,0,GG,1,1,6
10490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,NOW,0,no,no,yes,2.298311335,2,0,1,0,BO,NA,NA,14
10495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,B,B,0,0,0,2013,Male,juvenile,NOW,0,no,no,yes,2.298311335,2,0,1,0,BO,NA,NA,14
10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,NOW,0,no,no,yes,2.298311335,2,0,1,0,BO,1,1,14
10505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,OLY,1,no,no,yes,0.084038717,1,1,1,0.25,GG,1,1,4
10510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,Female,juvenile,OLY,1,no,no,yes,0.084038717,1,1,1,0.25,GG,0,0,4
10515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,OLY,1,no,no,yes,0.084038717,1,1,1,0.25,GG,0,0,4
10520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,OVA,0,no,no,yes,3.613778632,2,0,0,0,BO,0,0,3
10525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,0,0,0,0,0,0,0,0,2013,UNK,juvenile,OVA,0,no,no,yes,3.613778632,2,0,0,0,BO,0,0,3
10530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PB,0,B,0,0,0,0,0,0,0,2013,Female,juvenile,PAR,0,no,no,yes,2.011722582,2,0,1,0,BO,1,0,7
